id,question,persona,expected_category,reference_source_url,intent_description
GQ-001,How do I apply for BIS product certification under Scheme I (ISI mark)?,"MSME, manufacturer",product_certification,https://www.bis.gov.in/product-certification/product-certification-process/?lang=en,General application procedure under normal vs simplified option
GQ-002,What is the difference between Option 1 (Normal Procedure) and Option 2 (Simplified Procedure) for grant of licence?,"MSME, manufacturer",product_certification,https://www.bis.gov.in/product-certification/product-certification-process/?lang=en,Timeline and pre-requisite differences between Option 1 and Option 2
GQ-003,"Are there any special fee concessions or discounts available for Micro, Small and Medium Enterprises (MSMEs) or women entrepreneurs?",MSME,product_certification,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,"Incentives, rebates and fee concessions for MSME startups"
GQ-004,How do I know if my product comes under compulsory BIS certification?,manufacturer,product_certification,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Checking Quality Control Orders (QCOs) applicability
GQ-005,What documents and factory testing facilities are required before a BIS inspection officer visits my manufacturing unit?,"MSME, manufacturer",product_certification,https://www.bis.gov.in/product-certification/product-certification-process/?lang=en,Factory audit readiness and in-house laboratory equipment requirements
GQ-006,What is the Compulsory Registration Scheme (CRS) for electronic and IT goods under Scheme II?,manufacturer,product_certification,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,Self-declaration of conformity based on test reports from BIS recognized labs
GQ-007,How can a retail jeweller register with BIS for selling hallmarked gold jewellery?,jeweller,hallmarking,https://www.bis.gov.in/hallmarking-overview/jewellers-registration-scheme/?lang=en,"Registration scheme, online application via Manakonline, and zero registration fee policy"
GQ-008,Is jeweller registration lifetime or does it require periodic renewal?,jeweller,hallmarking,https://www.bis.gov.in/hallmarking-jewellers/?lang=en,Validity period and renewal guidelines for jeweller registration
GQ-009,What is the fee charged by an Assaying and Hallmarking Centre (AHC) for hallmarking gold jewellery articles?,jeweller,hallmarking,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,Statutory hallmarking charges per article plus GST
GQ-010,What happens if a jeweller sells non-hallmarked gold jewellery in mandatory hallmarking districts?,jeweller,hallmarking,https://www.bis.gov.in/hallmarking-overview/mandatory-hallmarking-order/?lang=en,"Penalties, search and seizure under the BIS Act 2016"
GQ-011,What is HUID and how can a consumer verify the authenticity of hallmarked gold jewellery?,consumer,hallmarking,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,6-digit alphanumeric Hallmarking Unique ID verification via BIS Care App
GQ-012,What are the three mandatory marks on a gold jewellery piece under current BIS hallmarking rules?,consumer,hallmarking,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,"BIS logo, purity/fineness mark (e.g. 22K916), and 6-digit HUID"
GQ-013,Can a consumer get their old or unhallmarked gold jewellery tested at an Assaying and Hallmarking Centre?,consumer,hallmarking,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Consumer testing facility at recognized AHCs and testing fees
GQ-014,What compensation is a consumer entitled to if hallmarked jewellery is found to have less purity than marked?,consumer,hallmarking,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Compensation formula: two times the shortfall calculated on purity and weight plus testing charges
GQ-015,How do I verify whether an ISI mark on a packaged drinking water bottle or helmet is genuine?,consumer,consumer,https://www.bis.gov.in/consumer-overview/for-consumers-faq/?lang=en,Verification of 7 or 8-digit CML licence number on BIS Care App or website
GQ-016,"How can a consumer file an online complaint regarding fake ISI marks, sub-standard products, or misleading quality claims?",consumer,consumer,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,"Grievance portal, BIS Care App complaint tab, and required evidence submission"
GQ-017,What action does BIS take against unauthorized use of the Standard ISI Mark?,consumer,consumer,https://www.bis.gov.in/consumer-overview/consumer-protection/?lang=en,"Enforcement raids, seizure, prosecution in court, and imprisonment/fines under BIS Act 2016"
GQ-018,How can an external testing laboratory get recognized under the BIS Laboratory Recognition Scheme (LRS)?,testing_lab,labs,https://www.bis.gov.in/laboratorys/laboratory-faq/?lang=en,"LRS Scheme requirements, NABL accreditation prerequisite, and online application"
GQ-019,What are the official timelines committed by BIS for processing a licence application under the Citizen's Charter?,"MSME, manufacturer",labs,https://www.bis.gov.in/consumer-overview/citizen-charter/?lang=en,Citizen's Charter service delivery norms (e.g. 30 days under simplified procedure)
GQ-020,What is the expected turnaround time for testing factory and market surveillance samples at BIS laboratories?,"testing_lab, manufacturer",labs,https://www.bis.gov.in/laboratorys/laboratory-overview/?lang=en,Standard testing turnaround schedules and batch test report issuance
GQ-021,What are the consumer rights and redressal timelines specified under the BIS Citizen's Charter?,consumer,labs,https://www.bis.gov.in/consumer-overview/citizen-charter/?lang=en,Citizen Charter grievance resolution timeline (maximum 90 days with sample testing)
GQ-022,What is Indian Standard IS 1417 and what caratages of gold are officially recognized?,"jeweller, consumer",standards_metadata,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,"IS 1417 specification for gold fineness (14K, 18K, 20K, 22K, 23K, 24K)"
GQ-023,"Is BIS certification mandatory for packaged drinking water, and which Indian Standard applies to it?","consumer, manufacturer",standards_metadata,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en,Identification of IS 14543 (Packaged Drinking Water) and IS 13428 (Packaged Natural Mineral Water)
GQ-024,Which Indian Standard covers safety requirements for two-wheeler protective helmets?,"consumer, manufacturer",standards_metadata,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en,IS 4151 protective helmets compulsory certification under QCO
GQ-025,Which standard applies to laptop and tablet safety under the Compulsory Registration Scheme (CRS)?,"manufacturer, student",standards_metadata,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,IS/IEC 62368-1 audio/video and IT equipment safety standard
GQ-026,What is the difference between an Indian Standard (IS) and a Quality Control Order (QCO)?,"MSME, student",standards_metadata,https://www.bis.gov.in/standards-overview/?lang=en,Distinction between voluntary technical specifications by BIS and mandatory legal enforcement by Ministries
